TimeStamp,Distance Over Ground(m),Lat (deg),Lon (deg)
2022-03-18 05:25:00,156,26.9048,-18.7777
2022-03-18 05:21:00,107,26.77138,-18.84018
2022-03-18 05:20:00,152,26.90609000000001,-18.77712
2022-03-18 05:16:00,106,26.77235,-18.84006
2022-03-18 05:15:00,149,26.90735,-18.77662
2022-03-18 05:11:00,98,26.77328,-18.84012
2022-03-18 05:10:00,132,26.90862000000001,-18.77616
2022-03-18 05:06:00,111,26.77418,-18.84014
2022-03-18 05:05:00,153,26.9098,-18.77591
2022-03-18 05:01:00,117,26.77518,-18.84011
2022-03-18 05:00:00,154,26.91111,-18.77555
2022-03-18 04:56:00,107,26.776190000000003,-18.84008
2022-03-18 04:55:00,149,26.91239,-18.77503
2022-03-18 04:51:00,101,26.77715,-18.84008
2022-03-18 04:50:00,143,26.91364,-18.77453
2022-03-18 04:46:00,108,26.77804,-18.84005
2022-03-18 04:45:00,139,26.9149,-18.77425
2022-03-18 04:41:00,117,26.779,-18.84007
2022-03-18 04:40:00,129,26.9161,-18.77393
2022-03-18 04:36:00,119,26.78003,-18.84006
2022-03-18 04:35:00,153,26.91722,-18.77365
2022-03-18 04:31:00,115,26.78109000000001,-18.84016
2022-03-18 04:30:00,156,26.91848,-18.77309
2022-03-18 04:26:00,115,26.78212000000001,-18.84006
2022-03-18 04:25:00,160,26.91979000000001,-18.77247
2022-03-18 04:21:00,120,26.783140000000003,-18.84008
2022-03-18 04:20:00,150,26.92114,-18.77193
2022-03-18 04:16:00,119,26.78422,-18.84006
2022-03-18 04:15:00,145,26.92241,-18.77137
2022-03-18 04:11:00,124,26.78532,-18.83994
2022-03-18 04:10:00,149,26.92362,-18.77096
2022-03-18 04:06:00,125,26.78645,-18.83981
2022-03-18 04:05:00,157,26.92486,-18.77042
2022-03-18 04:01:00,121,26.78755,-18.83966
2022-03-18 04:00:00,156,26.92615,-18.7699
2022-03-18 03:56:00,121,26.78863,-18.83962
2022-03-18 03:55:00,144,26.9274,-18.76929
2022-03-18 03:51:00,113,26.78971,-18.83972
2022-03-18 03:50:00,148,26.92862,-18.76865
2022-03-18 03:46:00,81,26.7907,-18.83958
2022-03-18 03:45:00,146,26.92982,-18.76811
2022-03-18 03:41:00,83,26.79115,-18.83899
2022-03-18 03:40:00,129,26.931,-18.76748
2022-03-18 03:36:00,93,26.79162,-18.83836
2022-03-18 03:35:00,154,26.93208,-18.7671
2022-03-18 03:31:00,96,26.79219,-18.8377
2022-03-18 03:30:00,155,26.93336,-18.76647
2022-03-18 03:26:00,85,26.79276,-18.83701
2022-03-18 03:25:00,159,26.9346,-18.76578
2022-03-18 03:21:00,91,26.79325,-18.83636
2022-03-18 03:20:00,153,26.93585,-18.76504
2022-03-18 03:16:00,82,26.79375,-18.83569
2022-03-18 03:15:00,151,26.9371,-18.76437
2022-03-18 03:11:00,77,26.79421,-18.83506
2022-03-18 03:10:00,155,26.93832,-18.76387
2022-03-18 03:06:00,77,26.79463,-18.83449
2022-03-18 03:05:00,144,26.93948,-18.76303
2022-03-18 03:01:00,77,26.79495,-18.83383
2022-03-18 03:00:00,145,26.94057,-18.76231
2022-03-18 02:56:00,83,26.795240000000003,-18.8332
2022-03-18 02:55:00,135,26.94165,-18.76167
2022-03-18 02:51:00,82,26.79574,-18.83257
2022-03-18 02:50:00,140,26.94283,-18.76115
2022-03-18 02:46:00,83,26.79625,-18.83198
2022-03-18 02:45:00,163,26.94400000000001,-18.76068
2022-03-18 02:41:00,89,26.79669,-18.83138
2022-03-18 02:40:00,151,26.94524,-18.75994
2022-03-18 02:36:00,82,26.79721,-18.83078
2022-03-18 02:35:00,145,26.94643,-18.75926
2022-03-18 02:31:00,80,26.79766,-18.83011
2022-03-18 02:30:00,143,26.94767,-18.75879
2022-03-18 02:26:00,87,26.79792,-18.82941
2022-03-18 02:25:00,154,26.94885,-18.75827
2022-03-18 02:21:00,75,26.79831,-18.8287
2022-03-18 02:20:00,142,26.95002,-18.75755
2022-03-18 02:16:00,81,26.79866,-18.82804
2022-03-18 02:15:00,168,26.9511,-18.75692
2022-03-18 02:11:00,94,26.79898,-18.82732
2022-03-18 02:10:00,158,26.95238,-18.75611
2022-03-18 02:06:00,89,26.7994,-18.82655
2022-03-18 02:05:00,180,26.95355,-18.75526
2022-03-18 02:01:00,80,26.7997,-18.82576
2022-03-18 02:00:00,160,26.95486,-18.75428
2022-03-18 01:56:00,82,26.79991,-18.82512
2022-03-18 01:55:00,157,26.956090000000003,-18.75348
2022-03-18 01:51:00,80,26.80013,-18.82428
2022-03-18 01:50:00,170,26.95732000000001,-18.75268
2022-03-18 01:46:00,98,26.80036,-18.82348
2022-03-18 01:45:00,164,26.95852,-18.75168
2022-03-18 01:40:00,95,26.800590000000003,-18.82257
2022-03-18 01:35:00,85,26.80098,-18.82174
2022-03-18 01:30:00,100,26.80109,-18.82093
2022-03-18 01:25:00,101,26.801440000000003,-18.8201
2022-03-18 01:20:00,88,26.801790000000004,-18.81919
2022-03-18 01:15:00,94,26.80196,-18.81833
2022-03-18 01:10:00,104,26.80207,-18.81744
2022-03-18 01:05:00,108,26.8024,-18.81649
2022-03-18 01:00:00,107,26.80278,-18.81549
2022-03-17 12:58:00,144,27.11421,-18.64999
2022-03-17 12:53:00,187,27.11478,-18.64874
2022-03-17 12:48:00,181,27.11485,-18.64695
2022-03-17 12:43:00,180,27.11495,-18.64517
2022-03-17 12:38:00,178,27.11488,-18.64336
2022-03-17 12:33:00,179,27.11485,-18.64159
2022-03-17 12:28:00,189,27.115040000000004,-18.63983
2022-03-17 12:23:00,175,27.11518,-18.63794
2022-03-17 12:18:00,169,27.11523,-18.63622
2022-03-17 12:13:00,181,27.11511,-18.63456
2022-03-17 12:08:00,185,27.11497,-18.63293
2022-03-17 12:03:00,188,27.11491,-18.63109
2022-03-17 11:59:00,144,26.98374,-18.7332
2022-03-17 11:58:00,184,27.11494,-18.62926
2022-03-17 11:54:00,155,26.98498,-18.73261
2022-03-17 11:53:00,175,27.11502,-18.62742
2022-03-17 11:49:00,153,26.98625,-18.73204
2022-03-17 11:48:00,189,27.11512,-18.62571
2022-03-17 11:44:00,155,26.98735,-18.73114
2022-03-17 11:43:00,181,27.1151,-18.62383
2022-03-17 11:39:00,161,26.98848,-18.73043
2022-03-17 11:38:00,196,27.115140000000004,-18.622
