TimeStamp,Pressure,Temperature,Conductivity,Latitude(deg),Longitude(deg)
2022-03-17 21:11:00,0.26,19.6365,4.98335,27.02406,-18.71922
2022-03-17 21:02:00,0.27,19.6453,4.98459,27.02626,-18.71868
2022-03-17 21:01:00,0.24,19.6499,4.985130000000002,27.02652,-18.71861
2022-03-17 20:52:00,0.2799999999999989,19.6562,4.98527,27.02873,-18.71801
2022-03-17 20:51:00,0.24,19.6666,4.98679,27.02902000000001,-18.71786
2022-03-17 20:42:00,0.25,19.6575,4.9850900000000005,27.03117,-18.71706
2022-03-17 20:41:00,0.27,19.6538,4.98568,27.03145,-18.71696
2022-03-17 20:32:00,0.300000000000001,19.6627,4.98679,27.0335,-18.71633
2022-03-17 20:31:00,0.32,19.6621,4.986669999999998,27.03372,-18.71632
2022-03-17 20:22:00,0.290000000000001,19.6509,4.985469999999999,27.03592,-18.71595
2022-03-17 20:21:00,0.27,19.6584,4.98612,27.0361,-18.71591
2022-03-17 20:12:00,0.310000000000001,19.6457,4.98396,27.03825,-18.71531
2022-03-17 20:11:00,0.27,19.6506,4.98506,27.03846,-18.71527
2022-03-17 20:02:00,0.220000000000001,19.6548,4.98426,27.04059,-18.71494
2022-03-17 20:01:00,0.27,19.6517,4.98378,27.04075,-18.71489
2022-03-17 19:52:00,0.2799999999999989,19.6411,4.9835,27.0431,-18.71415
2022-03-17 19:51:00,0.25,19.6502,4.98447,27.04332,-18.71403
2022-03-17 19:42:00,0.24,19.64,4.98299,27.04568,-18.71271
2022-03-17 19:41:00,0.27,19.635,4.98261,27.04598,-18.71254
2022-03-17 19:32:00,0.27,19.6409,4.98263,27.04826,-18.7115
2022-03-17 19:31:00,0.300000000000001,19.6492,4.98391,27.04852,-18.71141
2022-03-17 19:22:00,0.26,19.6589,4.9845,27.050690000000003,-18.71023
2022-03-17 19:21:00,0.300000000000001,19.6682,4.98573,27.05088,-18.71015
2022-03-17 19:12:00,0.24,19.6518,4.983969999999999,27.05299,-18.70928
2022-03-17 19:11:00,0.2799999999999989,19.6524,4.98194,27.05312,-18.7092
2022-03-17 19:02:00,0.24,19.6532,4.9835400000000005,27.05507,-18.70829
2022-03-17 19:01:00,0.220000000000001,19.6598,4.98401,27.05526,-18.70823
2022-03-17 18:52:00,0.27,19.6449,4.98203,27.05723,-18.70721
2022-03-17 18:51:00,0.200000000000001,19.6528,4.98292,27.0574,-18.70712
2022-03-17 18:42:00,0.27,19.6656,4.98399,27.05934,-18.70605
2022-03-17 18:41:00,0.2799999999999989,19.6569,4.983219999999998,27.0595,-18.70596
2022-03-17 18:32:00,0.26,19.6894,4.9866,27.0613,-18.7047
2022-03-17 18:31:00,0.26,19.6861,4.98647,27.06153,-18.70465
2022-03-17 18:22:00,0.26,19.6758,4.98445,27.06332,-18.70364
2022-03-17 18:21:00,0.290000000000001,19.6773,4.98517,27.06349,-18.70356
2022-03-17 18:12:00,0.23,19.6791,4.98461,27.0652,-18.70254
2022-03-17 18:11:00,0.290000000000001,19.674,4.98417,27.06533,-18.70245
2022-03-17 18:02:00,0.27,19.6517,4.98144,27.066990000000004,-18.70093
2022-03-17 18:01:00,0.27,19.6527,4.98144,27.06717,-18.70078
2022-03-17 17:52:00,0.25,19.639,4.9789900000000005,27.06874,-18.69951
2022-03-17 17:51:00,0.25,19.6412,4.97911,27.06891,-18.69934
2022-03-17 17:42:00,0.24,19.6354,4.97841,27.070490000000003,-18.69819
2022-03-17 17:41:00,0.25,19.6243,4.97715,27.07067,-18.69812
2022-03-17 17:32:00,0.26,19.6054,4.9751400000000015,27.07227,-18.69721
2022-03-17 17:31:00,0.26,19.6122,4.97598,27.07235,-18.69719
2022-03-17 17:22:00,0.310000000000001,19.6159,4.97547,27.07397000000001,-18.69641
2022-03-17 17:21:00,0.24,19.613,4.97521,27.074040000000004,-18.69634
2022-03-17 17:12:00,0.23,19.6177,4.97588,27.07551,-18.69549
2022-03-17 17:11:00,0.26,19.6099,4.975230000000002,27.07569,-18.69537
2022-03-17 17:02:00,0.2799999999999989,19.5979,4.97422,27.0771,-18.69427
2022-03-17 17:01:00,0.2799999999999989,19.5971,4.9741300000000015,27.07727,-18.69415
2022-03-17 16:52:00,0.290000000000001,19.597,4.97435,27.07863,-18.69318
2022-03-17 16:51:00,0.24,19.5871,4.973409999999999,27.07877,-18.69307
2022-03-17 16:42:00,0.26,19.6171,4.97536,27.08007000000001,-18.69216
2022-03-17 16:41:00,0.23,19.6165,4.976380000000002,27.08029,-18.69199
2022-03-17 16:32:00,0.23,19.615,4.9764,27.0818,-18.69033
2022-03-17 16:31:00,0.24,19.6155,4.9766,27.0819,-18.69018
2022-03-17 16:22:00,0.26,19.6239,4.97748,27.08342,-18.6889
2022-03-17 16:21:00,0.25,19.6322,4.978219999999999,27.08359,-18.68873
2022-03-17 16:12:00,0.25,19.603,4.97525,27.08501,-18.68707
2022-03-17 16:11:00,0.26,19.6214,4.977130000000002,27.08513,-18.68698
2022-03-17 16:02:00,0.220000000000001,19.6157,4.9767800000000015,27.08648,-18.68508
2022-03-17 16:01:00,0.24,19.6142,4.97652,27.08664000000001,-18.68492
2022-03-17 15:52:00,0.26,19.5729,4.97201,27.08806,-18.68356
2022-03-17 15:51:00,0.27,19.5856,4.97361,27.08822,-18.68339
2022-03-17 15:42:00,0.2799999999999989,19.5975,4.9743900000000005,27.08958,-18.68192
2022-03-17 15:41:00,0.27,19.599,4.97478,27.08975,-18.68177
2022-03-17 15:32:00,0.23,19.5573,4.97002,27.09111,-18.68031
2022-03-17 15:31:00,0.300000000000001,19.5686,4.97159,27.09128,-18.68014
2022-03-17 15:22:00,0.25,19.5681,4.96946,27.09262,-18.67865
2022-03-17 15:21:00,0.24,19.5679,4.9709400000000015,27.09278,-18.67848
2022-03-17 15:12:00,0.2799999999999989,19.5778,4.97224,27.09401,-18.67658
2022-03-17 15:11:00,0.26,19.5766,4.972180000000002,27.09411,-18.67641
2022-03-17 15:02:00,0.25,19.5548,4.96919,27.09553,-18.67494
2022-03-17 15:01:00,0.310000000000001,19.5661,4.97074,27.09567,-18.67486
2022-03-17 14:52:00,0.2799999999999989,19.5586,4.970280000000002,27.096940000000004,-18.67336
2022-03-17 14:51:00,0.2799999999999989,19.5547,4.96956,27.09699,-18.67325
2022-03-17 14:42:00,0.220000000000001,19.5525,4.96931,27.09841,-18.67171
